DEBUG 2016-10-23 16:14:28,712 JobManager             ExecuteAllJobs     - Begin Scheduler Manager
ERROR 2016-10-23 16:14:28,951 JobManager             ExecuteAllJobs     - The Job "TMS.Schedulers.Job" cannot be instantiated.
DEBUG 2016-10-23 16:14:29,001 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has been instantiated successfully.
DEBUG 2016-10-23 16:14:29,002 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has its thread started successfully.
DEBUG 2016-10-23 16:14:29,005 JobManager             ExecuteAllJobs     - End Method
DEBUG 2016-10-23 16:17:56,937 JobManager             ExecuteAllJobs     - Begin Scheduler Manager
ERROR 2016-10-23 16:17:57,152 JobManager             ExecuteAllJobs     - The Job "TMS.Schedulers.Job" cannot be instantiated.
DEBUG 2016-10-23 16:17:57,182 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has been instantiated successfully.
DEBUG 2016-10-23 16:17:57,182 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has its thread started successfully.
DEBUG 2016-10-23 16:17:57,185 JobManager             ExecuteAllJobs     - End Method
DEBUG 2016-10-23 16:30:12,277 JobManager             ExecuteAllJobs     - Begin Scheduler Manager
ERROR 2016-10-23 16:30:12,433 JobManager             ExecuteAllJobs     - The Job "TMS.Schedulers.Job" cannot be instantiated.
DEBUG 2016-10-23 16:30:12,462 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has been instantiated successfully.
DEBUG 2016-10-23 16:30:12,463 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has its thread started successfully.
DEBUG 2016-10-23 16:30:12,466 JobManager             ExecuteAllJobs     - End Method
DEBUG 2016-10-23 16:31:54,549 JobManager             ExecuteAllJobs     - Begin Scheduler Manager
ERROR 2016-10-23 16:31:54,706 JobManager             ExecuteAllJobs     - The Job "TMS.Schedulers.Job" cannot be instantiated.
DEBUG 2016-10-23 16:31:54,734 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has been instantiated successfully.
DEBUG 2016-10-23 16:31:54,735 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has its thread started successfully.
DEBUG 2016-10-23 16:31:54,738 JobManager             ExecuteAllJobs     - End Method
DEBUG 2016-10-23 16:45:45,525 JobManager             ExecuteAllJobs     - Begin Scheduler Manager
ERROR 2016-10-23 16:45:45,685 JobManager             ExecuteAllJobs     - The Job "TMS.Schedulers.Job" cannot be instantiated.
DEBUG 2016-10-23 16:45:45,714 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has been instantiated successfully.
DEBUG 2016-10-23 16:45:45,714 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has its thread started successfully.
DEBUG 2016-10-23 16:45:45,717 JobManager             ExecuteAllJobs     - End Method
DEBUG 2016-10-23 21:56:20,277 JobManager             ExecuteAllJobs     - Begin Scheduler Manager
ERROR 2016-10-23 21:56:20,479 JobManager             ExecuteAllJobs     - The Job "TMS.Schedulers.Job" cannot be instantiated.
DEBUG 2016-10-23 21:56:20,508 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has been instantiated successfully.
DEBUG 2016-10-23 21:56:20,508 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has its thread started successfully.
DEBUG 2016-10-23 21:56:20,512 JobManager             ExecuteAllJobs     - End Method
DEBUG 2016-10-23 22:16:04,067 JobManager             ExecuteAllJobs     - Begin Scheduler Manager
ERROR 2016-10-23 22:16:04,225 JobManager             ExecuteAllJobs     - The Job "TMS.Schedulers.Job" cannot be instantiated.
DEBUG 2016-10-23 22:16:04,256 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has been instantiated successfully.
DEBUG 2016-10-23 22:16:04,256 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has its thread started successfully.
DEBUG 2016-10-23 22:16:04,259 JobManager             ExecuteAllJobs     - End Method
DEBUG 2016-10-23 22:41:30,734 JobManager             ExecuteAllJobs     - Begin Scheduler Manager
ERROR 2016-10-23 22:41:30,892 JobManager             ExecuteAllJobs     - The Job "TMS.Schedulers.Job" cannot be instantiated.
DEBUG 2016-10-23 22:41:30,923 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has been instantiated successfully.
DEBUG 2016-10-23 22:41:30,924 JobManager             ExecuteAllJobs     - The Job "ConvertTicketJob" has its thread started successfully.
DEBUG 2016-10-23 22:41:30,927 JobManager             ExecuteAllJobs     - End Method
DEBUG 2016-10-23 22:47:40,701 JobManager             ExecuteAllJobs     - Begin Scheduler Manager
